0,1,2,3
0,0,141.0,348.5
1,16,249.0,242.0
2,26,117.0,365.5
0,0,165.5,333.5
1,16,246.0,212.0
2,26,149.5,352.5
0,0,133.0,373.0
1,16,238.0,273.0
2,26,112.5,389.0
0,0,165.5,357.0
1,16,253.0,225.5
2,26,149.0,377.0
0,0,156.5,397.0
1,16,256.5,285.5
2,26,133.0,421.0
0,0,161.5,341.0
1,16,238.0,220.5
2,26,145.0,357.5
0,0,160.5,392.5
1,16,252.5,282.0
2,26,141.0,409.5
0,0,161.5,365.0
1,16,257.5,218.0
2,26,145.0,385.0
0,0,158.0,369.0
1,16,241.5,269.0
2,26,141.0,385.0
0,0,137.5,374.0
1,16,237.0,272.5
2,26,113.5,390.0
0,0,141.5,360.5
1,16,237.0,266.0
2,26,121.0,377.0
0,0,169.0,389.0
1,16,237.5,265.0
2,26,152.5,412.5
0,0,173.0,372.5
1,16,248.5,262.5
2,26,153.5,389.5
0,0,149.0,360.5
1,16,242.0,252.5
2,26,129.0,376.5
0,0,154.0,405.5
1,16,256.5,293.5
2,26,133.5,425.0
0,0,157.5,348.5
1,16,260.5,222.0
2,26,141.0,369.5
0,0,169.0,336.5
1,16,264.5,214.0
2,26,149.0,352.5
0,0,145.0,366.0
1,16,245.0,277.0
2,26,125.0,381.0
0,0,153.0,384.5
1,16,241.5,293.5
2,26,136.5,397.0
0,0,161.0,345.0
1,16,246.0,221.5
2,26,141.5,365.5
0,0,162.0,350.0
1,16,254.0,222.5
2,26,145.5,369.5
0,0,169.5,373.5
1,16,249.5,273.0
2,26,149.0,389.0
0,0,140.5,368.5
1,16,249.0,272.5
2,26,117.5,385.0
0,0,161.0,349.5
1,16,270.0,221.5
2,26,141.5,373.0
0,0,130.5,385.5
1,16,229.0,289.5
2,26,113.0,401.5
0,0,145.0,333.5
1,16,230.0,216.5
2,26,125.5,353.0
0,0,149.5,385.5
1,16,249.5,284.5
2,26,129.5,401.5
0,0,161.5,397.5
1,16,249.5,286.0
2,26,141.0,417.0
0,0,161.0,380.5
1,16,253.5,278.0
2,26,141.0,401.0
0,0,133.0,396.5
1,16,245.5,290.0
2,26,113.0,413.0
0,0,133.5,365.5
1,16,238.0,265.5
2,26,112.5,381.0
0,0,169.0,378.0
1,16,250.0,276.5
2,26,145.5,397.0
0,0,133.5,377.5
1,16,237.0,269.5
2,26,113.0,397.5
0,0,169.0,374.0
1,16,241.5,265.5
2,26,149.5,390.0
0,0,121.5,393.0
1,16,229.0,278.0
2,26,105.0,409.0
0,0,153.5,361.0
1,16,249.0,228.5
2,26,133.0,380.5
0,0,137.5,366.0
1,16,238.0,276.0
2,26,113.5,381.0
0,0,172.5,352.5
1,16,258.0,224.5
2,26,153.0,373.5
0,0,148.5,365.0
1,16,254.0,252.5
2,26,129.0,381.0
0,0,157.5,381.5
1,16,261.0,281.5
2,26,137.0,397.5
0,0,165.0,366.0
1,16,245.5,261.5
2,26,145.0,385.0
0,0,165.5,389.0
1,16,240.5,274.0
2,26,149.0,404.5
0,0,173.0,357.5
1,16,257.0,220.5
2,26,160.5,373.0
0,0,169.0,344.5
1,16,256.5,229.0
2,26,149.0,361.0
0,0,176.5,350.0
1,16,261.0,218.0
2,26,158.0,366.0
0,0,133.5,389.5
1,16,241.0,284.5
2,26,116.5,404.5
0,0,130.0,374.0
1,16,249.0,272.5
2,26,109.5,389.5
0,0,189.0,360.5
1,16,253.0,213.5
